name,genre,all_reviews,tone
DOOM,Action,"Very Positive,(42,550),- 92% of the 42,550 user reviews for this game are positive.",Very Positive
PLAYERUNKNOWN'S BATTLEGROUNDS,"Action,Adventure,Massively Multiplayer","Mixed,(836,608),- 49% of the 836,608 user reviews for this game are positive.",Mixed
BATTLETECH,"Action,Adventure,Strategy","Mostly Positive,(7,030),- 71% of the 7,030 user reviews for this game are positive.",Mostly Positive
DayZ,"Action,Adventure,Massively Multiplayer","Mixed,(167,115),- 61% of the 167,115 user reviews for this game are positive.",Mixed
EVE Online,"Action,Free to Play,Massively Multiplayer,RPG,Strategy","Mostly Positive,(11,481),- 74% of the 11,481 user reviews for this game are positive.",Mostly Positive
Devil May Cry 5,Action,"Very Positive,(9,645),- 92% of the 9,645 user reviews for this game are positive.",Very Positive
Human: Fall Flat,"Adventure,Indie","Very Positive,(23,763),- 91% of the 23,763 user reviews for this game are positive.",Very Positive
They Are Billions,"Strategy,Early Access","Very Positive,(12,127),- 85% of the 12,127 user reviews for this game are positive.",Very Positive
Warhammer: Chaosbane,"Action,Adventure,RPG","Mixed,(904),- 44% of the 904 user reviews for this game are positive.",Mixed
For The King,"Adventure,Indie,RPG,Strategy","Very Positive,(4,600),- 83% of the 4,600 user reviews for this game are positive.",Very Positive
Danganronpa V3: Killing Harmony,Adventure,"Very Positive,(3,547),- 84% of the 3,547 user reviews for this game are positive.",Very Positive
TERA,"Action,Adventure,Free to Play,Massively Multiplayer,RPG","Mostly Positive,(14,184),- 78% of the 14,184 user reviews for this game are positive.",Mostly Positive
Call of Duty®: Modern Warfare® Remastered,Action,"Mixed,(1,118),- 51% of the 1,118 user reviews for this game are positive.",Mixed
Stonehearth,"Indie,Simulation,Strategy","Mostly Positive,(5,484),- 75% of the 5,484 user reviews for this game are positive.",Mostly Positive
Clone Drone in the Danger Zone,"Action,Indie,Early Access","Very Positive,(1,901),- 94% of the 1,901 user reviews for this game are positive.",Very Positive
GOD EATER 3,Action,"Mostly Positive,(1,945),- 77% of the 1,945 user reviews for this game are positive.",Mostly Positive
War Robots,"Action,Free to Play","Mixed,(1,797),- 44% of the 1,797 user reviews for this game are positive.",Mixed
Halo Wars: Definitive Edition,Strategy,"Very Positive,(2,442),- 88% of the 2,442 user reviews for this game are positive.",Very Positive
Call of Duty®: Black Ops,Action,"Very Positive,(4,190),- 84% of the 4,190 user reviews for this game are positive.",Very Positive
Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,Adventure,"Very Positive,(382),- 97% of the 382 user reviews for this game are positive.",Very Positive
Team Sonic Racing™,Racing,"Mostly Positive,(487),- 70% of the 487 user reviews for this game are positive.",Mostly Positive
Titan Quest Anniversary Edition,"Action,RPG","Very Positive,(9,757),- 90% of the 9,757 user reviews for this game are positive.",Very Positive
Grand Theft Auto IV,"Action,Adventure","Mixed,(43,799),- 63% of the 43,799 user reviews for this game are positive.",Mixed
Portal,Action,"Overwhelmingly Positive,(40,424),- 97% of the 40,424 user reviews for this game are positive.",NA
Viscera Cleanup Detail,"Indie,Simulation","Very Positive,(5,414),- 92% of the 5,414 user reviews for this game are positive.",Very Positive
Neverwinter Nights: Enhanced Edition,RPG,"Mostly Positive,(1,094),- 74% of the 1,094 user reviews for this game are positive.",Mostly Positive
Ni no Kuni™ II: Revenant Kingdom,"Adventure,RPG","Very Positive,(2,701),- 81% of the 2,701 user reviews for this game are positive.",Very Positive
Tree of Savior (English Ver.),"Free to Play,Massively Multiplayer,RPG","Mixed,(15,461),- 60% of the 15,461 user reviews for this game are positive.",Mixed
Hellblade: Senua's Sacrifice,"Action,Adventure,Indie","Very Positive,(21,022),- 91% of the 21,022 user reviews for this game are positive.",Very Positive
Danganronpa 2: Goodbye Despair,Adventure,"Overwhelmingly Positive,(4,612),- 96% of the 4,612 user reviews for this game are positive.",NA
Yakuza 0,"Action,Adventure,RPG","Very Positive,(8,128),- 87% of the 8,128 user reviews for this game are positive.",Very Positive
The Escapists 2,"Indie,Simulation,Strategy","Very Positive,(5,252),- 81% of the 5,252 user reviews for this game are positive.",Very Positive
"Star Wars: Battlefront 2 (Classic, 2005)",Action,"Very Positive,(27,397),- 91% of the 27,397 user reviews for this game are positive.",Very Positive
Wizard101,"Free to Play,Massively Multiplayer,RPG","Mixed,(805),- 68% of the 805 user reviews for this game are positive.",Mixed
Life is Strange 2,Adventure,"Very Positive,(4,437),*,- 86% of the 4,437 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",Very Positive
Kingdoms of Amalur: Reckoning™,"Action,RPG","Very Positive,(8,950),- 87% of the 8,950 user reviews for this game are positive.",Very Positive
